Window_Size,GS,Total_Mem_MB,Avg_Mem_KB,Effective_Pixel,Max_Mem_MB,Max_Area_Agg_MB,Max_Area_Agg2_MB,Total_Valid_Windows
5x5,8,2583.8670733449767,1.8898885537305252,1.9313831127944687,tensor(0.1518),tensor(0.1029),tensor(0.1004),1400019
5x5,16,3544.965359266338,5.134353677508172,2.6235419988864113,tensor(0.1373),tensor(0.0981),tensor(0.0982),707011
5x5,48,6027.055622722628,25.550318391014613,4.351883904257978,tensor(0.0957),tensor(0.0855),tensor(0.0855),241551
10x10,8,1075.3595682180796,3.123518109539922,0.7980245868684831,tensor(0.2168),tensor(0.1571),tensor(0.1547),352541
10x10,16,1238.124822532521,7.125778107795515,0.9102790397183893,tensor(0.1643),tensor(0.1216),tensor(0.1247),177923
10x10,48,1764.4661658696343,29.844951335489025,1.270842904505188,tensor(0.1071),tensor(0.0946),tensor(0.0946),60540
20x20,8,563.4428275241893,6.423002353216924,0.4102516473112606,tensor(0.2990),tensor(0.2158),tensor(0.2160),89828
20x20,16,524.3480690720343,11.858571993678234,0.3787168700575884,tensor(0.2253),tensor(0.1656),tensor(0.1644),45278
20x20,48,582.8894132842189,38.91756922494883,0.4142921540912716,tensor(0.1321),tensor(0.1146),tensor(0.1146),15337
40x40,8,362.87879898378316,16.074921706151322,0.25668537654533047,tensor(0.4851),tensor(0.3713),tensor(0.3700),23116
40x40,16,274.66721953508005,24.169393555376985,0.19296921002296993,tensor(0.3402),tensor(0.2713),tensor(0.2623),11637
40x40,48,227.3962378861394,59.144970179173676,0.1574051102572819,tensor(0.1885),tensor(0.1607),tensor(0.1607),3937
80x80,8,274.24297400553013,45.0834492505479,0.17997384930358443,tensor(0.9661),tensor(0.8148),tensor(0.8078),6229
80x80,16,176.20662837014373,57.88758018961411,0.11554407223475871,tensor(0.6103),tensor(0.5038),tensor(0.5110),3117
80x80,48,108.81868913717335,107.14455545813992,0.07128712937999994,tensor(0.3277),tensor(0.2766),tensor(0.2766),1040
160x160,8,229.54683218294056,139.99759151598042,0.1397181552055693,tensor(2.7847),tensor(2.4184),tensor(2.4245),1679
160x160,16,132.30307826093164,161.2837525466595,0.08048091444444089,tensor(1.6129),tensor(1.3957),tensor(1.3921),840
160x160,48,63.30328348866664,231.50915104426656,0.03850784282173429,tensor(0.7295),tensor(0.6290),tensor(0.6290),280
320x320,8,204.70626521308674,363.92224926770973,0.09079896438815113,tensor(8.6400),tensor(7.7812),tensor(7.7800),576
320x320,16,110.83694502003723,394.08691562679905,0.04916253937460068,tensor(4.6992),tensor(4.2160),tensor(4.2131),288
320x320,48,45.569750689454374,486.0773406875133,0.020212796934776837,tensor(1.9586),tensor(1.7338),tensor(1.7338),96
2000x2000,8,173.10488088548183,3692.904125556946,0.12381063439785235,tensor(43.5854),tensor(43.2899),tensor(43.3122),48
2000x2000,16,86.85890727818011,3705.980043869018,0.062124512943861475,tensor(21.8323),tensor(21.7497),tensor(21.7487),24
2000x2000,48,29.096190179586408,3724.31234298706,0.020810607686321377,tensor(7.2820),tensor(7.2820),tensor(7.2820),8
